x_min,x_max,x_mean,x_sd,y_min,y_max,y_mean,y_sd,z_min,z_max,z_mean,z_sd,disease
79,61,93,67,54,2,70,56,39,35,44,29,FALSE
96,31,2,59,5,2,95,17,86,5,21,100,TRUE
70,99,92,28,67,55,30,69,50,50,58,83,FALSE
96,22,36,9,75,71,25,79,57,88,56,40,FALSE
75,66,70,11,98,21,77,83,16,14,86,13,TRUE
80,56,10,60,4,47,66,37,11,36,80,64,TRUE
98,93,55,57,2,94,84,2,97,5,16,3,TRUE
35,8,41,75,53,16,1,53,78,76,35,15,TRUE
2,43,85,1,49,80,27,78,16,83,22,78,TRUE
65,46,80,42,92,67,43,5,48,1,36,88,FALSE
76,24,43,73,13,29,39,64,82,17,42,62,FALSE
91,86,63,13,62,56,82,44,88,49,70,56,TRUE
90,20,75,89,46,49,77,76,44,47,50,71,FALSE
35,44,7,27,2,13,71,88,16,38,23,8,TRUE
25,92,71,26,74,17,17,28,72,34,89,58,TRUE
79,50,16,99,76,28,44,32,71,77,51,52,FALSE
18,32,73,27,84,64,98,12,95,49,45,15,TRUE
17,84,96,19,22,23,80,17,28,53,39,36,FALSE
20,94,88,80,56,28,60,29,81,68,95,98,FALSE
40,69,85,36,2,57,59,40,41,54,12,36,TRUE
96,61,68,90,55,60,79,36,17,18,74,44,FALSE
70,34,25,22,2,36,76,53,99,80,71,9,FALSE
95,39,82,43,15,54,59,34,55,5,100,38,TRUE
42,49,82,55,71,71,56,21,34,46,2,29,TRUE
25,26,56,18,60,57,99,1,79,87,45,36,FALSE
44,15,39,47,59,70,24,46,6,42,11,39,TRUE
46,94,7,78,49,60,99,72,51,70,37,31,FALSE
28,33,68,72,19,71,66,80,21,71,80,50,TRUE
89,4,55,93,30,24,22,44,69,76,91,96,TRUE
72,86,21,3,1,70,84,38,15,5,90,38,FALSE
53,52,32,13,17,25,36,19,84,14,11,59,TRUE
31,51,40,85,34,69,73,2,7,85,38,14,TRUE
47,94,48,53,89,95,21,25,1,93,85,52,TRUE
33,12,97,16,43,40,40,84,37,4,93,38,FALSE
81,27,100,86,86,79,82,67,2,83,50,68,FALSE
75,43,74,100,99,23,9,85,94,44,2,48,FALSE
67,70,67,32,66,59,34,53,75,88,30,72,TRUE
69,99,47,98,52,1,84,55,84,13,91,77,FALSE
62,40,36,97,46,83,24,37,12,59,85,33,TRUE
7,70,30,74,100,97,60,83,3,33,44,96,TRUE
98,75,66,91,6,39,76,43,2,27,26,16,TRUE
50,47,40,64,75,2,53,80,36,50,6,56,TRUE
43,33,67,21,6,26,90,14,46,94,76,22,FALSE
92,93,97,30,78,29,92,16,7,33,67,47,FALSE
36,84,42,36,16,15,91,78,36,67,63,18,TRUE
91,39,1,94,49,14,77,55,71,78,35,45,TRUE
56,84,56,10,83,50,15,9,33,97,10,83,FALSE
40,85,87,25,80,46,99,94,10,84,12,53,FALSE
47,13,13,74,10,14,84,5,4,30,76,7,FALSE
36,43,69,34,47,29,84,40,52,2,30,91,FALSE
